5	5	0.1703847	0.1183867
Cube/0/0	0.5	0	0.5	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/0/1	0.5	0	1.670385	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/0/2	0.5	0	2.840769	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/0/3	0.5	0	4.011154	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/0/4	0.5	0	5.181539	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/1/0	1.670385	0	0.5	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/1/1	1.670385	0	1.670385	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/1/2	1.670385	0	2.840769	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/1/3	1.670385	0	4.011154	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/1/4	1.670385	0	5.181539	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/2/0	2.840769	0	0.5	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/2/1	2.840769	0	1.670385	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/2/2	2.840769	0	2.840769	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/2/3	2.840769	0	4.011154	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/2/4	2.840769	0	5.181539	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/3/0	4.011154	0	0.5	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/3/1	4.011154	0	1.670385	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/3/2	4.011154	0.5	2.840769	RGBA(0.000, 0.000, 0.000, 0.000)
Cube/3/3	4.011154	0	4.011154	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/3/4	4.011154	0	5.181539	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/4/0	5.181539	0	0.5	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/4/1	5.181539	0	1.670385	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/4/2	5.181539	0.2	2.840769	RGBA(0.000, 0.000, 0.000, 0.000)
Cube/4/3	5.181539	0	4.011154	RGBA(1.000, 1.000, 1.000, 1.000)
Cube/4/4	5.181539	0	5.181539	RGBA(1.000, 1.000, 1.000, 1.000)
